2012-12-31;12359;146;
2012-12-30;12358;012;
2012-12-29;12357;111;
2012-12-28;12356;462;
2012-12-27;12355;369;
2012-12-26;12354;183;
2012-12-25;12353;469;
2012-12-24;12352;944;
2012-12-23;12351;992;
2012-12-22;12350;896;
2012-12-21;12349;041;
2012-12-20;12348;821;
2012-12-19;12347;419;
2012-12-18;12346;437;
2012-12-17;12345;390;
2012-12-16;12344;488;
2012-12-15;12343;722;
2012-12-14;12342;492;
2012-12-13;12341;472;
2012-12-12;12340;654;
2012-12-11;12339;274;
2012-12-10;12338;331;
2012-12-09;12337;462;
2012-12-08;12336;557;
2012-12-07;12335;893;
2012-12-06;12334;524;
2012-12-05;12333;025;
2012-12-04;12332;822;
2012-12-03;12331;089;
2012-12-02;12330;219;
2012-12-01;12329;611;
2012-11-30;12328;814;
2012-11-29;12327;446;
2012-11-28;12326;896;
2012-11-27;12325;104;
2012-11-26;12324;888;
2012-11-25;12323;899;
2012-11-24;12322;176;
2012-11-23;12321;133;
2012-11-22;12320;009;
2012-11-21;12319;051;
2012-11-20;12318;836;
2012-11-19;12317;177;
2012-11-18;12316;708;
2012-11-17;12315;007;
2012-11-16;12314;624;
2012-11-15;12313;138;
2012-11-14;12312;056;
2012-11-13;12311;644;
2012-11-12;12310;644;
2012-11-11;12309;287;
2012-11-10;12308;299;
2012-11-09;12307;687;
2012-11-08;12306;337;
2012-11-07;12305;721;
2012-11-06;12304;419;
2012-11-05;12303;585;
2012-11-04;12302;343;
2012-11-03;12301;579;
2012-11-02;12300;954;
2012-11-01;12299;087;
2012-10-31;12298;833;
2012-10-30;12297;814;
2012-10-29;12296;489;
2012-10-28;12295;295;
2012-10-27;12294;137;
2012-10-26;12293;086;
2012-10-25;12292;203;
2012-10-24;12291;021;
2012-10-23;12290;974;
2012-10-22;12289;884;
2012-10-21;12288;576;
2012-10-20;12287;231;
2012-10-19;12286;044;
2012-10-18;12285;605;
2012-10-17;12284;560;
2012-10-16;12283;154;
2012-10-15;12282;010;
2012-10-14;12281;096;
2012-10-13;12280;063;
2012-10-12;12279;954;
2012-10-11;12278;663;
2012-10-10;12277;911;
2012-10-09;12276;179;
2012-10-08;12275;361;
2012-10-07;12274;567;
2012-10-06;12273;706;
2012-10-05;12272;973;
2012-10-04;12271;656;
2012-10-03;12270;521;
2012-10-02;12269;153;
2012-10-01;12268;630;
2012-09-30;12267;446;
2012-09-29;12266;100;
2012-09-28;12265;865;
2012-09-27;12264;092;
2012-09-26;12263;436;
2012-09-25;12262;506;
2012-09-24;12261;686;
2012-09-23;12260;457;
2012-09-22;12259;081;
2012-09-21;12258;794;
2012-09-20;12257;355;
2012-09-19;12256;092;
